STOP_ID,STOP_NAME,STATION_NAME,MAP_ID,ADA,RED,BLUE,G,BRN,P,Pexp,Y,Pnk,O,Location,LON,LAT
30208,Kedzie (Harlem-bound),Kedzie,41070,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.884321, -87.706155)",-87.706155,41.884321
30049,Kedzie-Homan (Forest Pk-bound),Kedzie-Homan,40250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.874341, -87.70604)",-87.70604,41.874341
30048,Kedzie-Homan (O'Hare-bound),Kedzie-Homan,40250,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.874341, -87.70604)",-87.70604,41.874341
30249,Kimball (Terminal arrival),Kimball,41290,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.967901, -87.713065)",-87.713065,41.967901
30250,Kimball (Loop-bound),Kimball,41290,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.967901, -87.713065)",-87.713065,41.967901
30117,Kostner (Loop-bound),Kostner,40600,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.853751, -87.733258)",-87.733258,41.853751
30118,Kostner (54th/Cermak-bound),Kostner,40600,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,"(41.853751, -87.733258)",-87.733258,41.853751
30290,Lake (95th-bound),Lake,41660,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.884809, -87.627813)",-87.627813,41.884809
30289,Lake (Howard-bound),Lake,41660,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.884809, -87.627813)",-87.627813,41.884809
30135,Laramie (63rd-bound),Laramie,40700,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,"(41.887163, -87.754986)",-87.754986,41.887163
